Train Epoch: 262 	Loss: 179053.515625 	Time: 17:58:39
Train Epoch: 263 	Loss: 222134.265625 	Time: 17:59:35
Train Epoch: 264 	Loss: 168257.484375 	Time: 18:00:30
Train Epoch: 265 	Loss: 252624.328125 	Time: 18:01:26
Train Epoch: 266 	Loss: 302252.343750 	Time: 18:02:21
Train Epoch: 267 	Loss: 270360.968750 	Time: 18:03:16
Train Epoch: 268 	Loss: 229978.578125 	Time: 18:04:11
Train Epoch: 269 	Loss: 252129.531250 	Time: 18:05:06
Train Epoch: 270 	Loss: 262288.250000 	Time: 18:06:01
Train Epoch: 271 	Loss: 322719.562500 	Time: 18:06:57
Train Epoch: 272 	Loss: 277568.000000 	Time: 18:07:52
Train Epoch: 273 	Loss: 315293.031250 	Time: 18:08:46
Train Epoch: 274 	Loss: 255129.500000 	Time: 18:09:41
Train Epoch: 275 	Loss: 325806.093750 	Time: 18:10:36
Train Epoch: 276 	Loss: 276563.843750 	Time: 18:11:32
Train Epoch: 277 	Loss: 272025.156250 	Time: 18:12:27
Train Epoch: 278 	Loss: 275502.187500 	Time: 18:13:23
Train Epoch: 279 	Loss: 243493.781250 	Time: 18:14:19
Train Epoch: 280 	Loss: 248594.718750 	Time: 18:15:14
Train Epoch: 281 	Loss: 200555.468750 	Time: 18:16:09
Train Epoch: 282 	Loss: 136151.796875 	Time: 18:17:04
Train Epoch: 283 	Loss: 154258.125000 	Time: 18:17:59
Train Epoch: 284 	Loss: 182277.812500 	Time: 18:18:54
Train Epoch: 285 	Loss: 132314.375000 	Time: 18:19:48
Train Epoch: 286 	Loss: 154886.953125 	Time: 18:20:43
Train Epoch: 287 	Loss: 163031.796875 	Time: 18:21:39
Train Epoch: 288 	Loss: 142774.140625 	Time: 18:22:33
Train Epoch: 289 	Loss: 116145.250000 	Time: 18:23:28
Train Epoch: 290 	Loss: 120190.468750 	Time: 18:24:22
Train Epoch: 291 	Loss: 126485.406250 	Time: 18:25:17
Train Epoch: 292 	Loss: 135030.828125 	Time: 18:26:12
Train Epoch: 293 	Loss: 124672.781250 	Time: 18:27:08
Train Epoch: 294 	Loss: 128984.164062 	Time: 18:28:02
Train Epoch: 295 	Loss: 96834.062500 	Time: 18:28:57
Train Epoch: 296 	Loss: 124847.437500 	Time: 18:29:52
Train Epoch: 297 	Loss: 115681.906250 	Time: 18:30:47
Train Epoch: 298 	Loss: 118719.578125 	Time: 18:31:41
Train Epoch: 299 	Loss: 135229.859375 	Time: 18:32:36
Train Epoch: 300 	Loss: 128456.968750 	Time: 18:33:30
Train Epoch: 301 	Loss: 115151.539062 	Time: 18:34:25
Train Epoch: 302 	Loss: 123248.304688 	Time: 18:35:20
Train Epoch: 303 	Loss: 107627.546875 	Time: 18:36:15
Train Epoch: 304 	Loss: 108875.593750 	Time: 18:37:10
Train Epoch: 305 	Loss: 144419.890625 	Time: 18:38:05
Train Epoch: 306 	Loss: 108302.289062 	Time: 18:39:00
Train Epoch: 307 	Loss: 136870.328125 	Time: 18:39:54
Train Epoch: 308 	Loss: 104744.109375 	Time: 18:40:49
Train Epoch: 309 	Loss: 137344.984375 	Time: 18:41:45
Train Epoch: 310 	Loss: 98775.210938 	Time: 18:42:40
Train Epoch: 311 	Loss: 111955.312500 	Time: 18:43:35
Train Epoch: 312 	Loss: 122167.781250 	Time: 18:44:31
Train Epoch: 313 	Loss: 119535.812500 	Time: 18:45:26
Train Epoch: 314 	Loss: 120837.367188 	Time: 18:46:21
Train Epoch: 315 	Loss: 120778.828125 	Time: 18:47:16
Train Epoch: 316 	Loss: 104568.968750 	Time: 18:48:11
Train Epoch: 317 	Loss: 112416.359375 	Time: 18:49:08
Train Epoch: 318 	Loss: 103466.390625 	Time: 18:50:04
Train Epoch: 319 	Loss: 124063.429688 	Time: 18:50:59
Train Epoch: 320 	Loss: 110447.609375 	Time: 18:51:54
Train Epoch: 321 	Loss: 110821.835938 	Time: 18:52:48
Train Epoch: 322 	Loss: 110033.375000 	Time: 18:53:43
Train Epoch: 323 	Loss: 111431.687500 	Time: 18:54:38
Train Epoch: 324 	Loss: 87990.914062 	Time: 18:55:33
Train Epoch: 325 	Loss: 100395.812500 	Time: 18:56:27
Train Epoch: 326 	Loss: 108050.085938 	Time: 18:57:22
